,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
89,2012,NFCU,WV,124,25206,190.0,0.014187183467535405,#8607A6
90,2012,NVR MORTGAGE FINANCE INC,DC,35,13347,382.0,0.0025707648926006966,#DD5F65
91,2012,NVR MORTGAGE FINANCE INC,DE,262,63356,243.5,0.02560997299788187,#DD5F65
92,2012,NVR MORTGAGE FINANCE INC,MD,1572,530398,335.0,0.01723570375197079,#DD5F65
93,2012,NVR MORTGAGE FINANCE INC,VA,1413,454172,302.0,0.013647745244172223,#DD5F65
94,2012,NVR MORTGAGE FINANCE INC,WV,26,4000,158.0,0.002251397836631819,#DD5F65
95,2012,PNC BANK NA,DC,630,212524,300.0,0.040934235261487255,#9E199C
96,2012,PNC BANK NA,DE,718,121707,143.0,0.04919680825262341,#9E199C
97,2012,PNC BANK NA,MD,4214,1028739,210.0,0.03342968985949924,#9E199C
98,2012,PNC BANK NA,VA,2608,590213,211.0,0.017735740344624107,#9E199C
99,2012,PNC BANK NA,WV,214,37760,174.0,0.02125319557780437,#9E199C
100,2012,PRESIDENTIAL BANK FSB,DC,73,27890,360.0,0.005371891275540078,#F9D924
101,2012,PRESIDENTIAL BANK FSB,DE,13,3283,240.0,0.001327065176968972,#F9D924
102,2012,PRESIDENTIAL BANK FSB,MD,2234,627917,267.0,0.020404661014608354,#F9D924
103,2012,PRESIDENTIAL BANK FSB,VA,722,140710,168.5,0.004228297282323599,#F9D924
104,2012,PRESIDENTIAL BANK FSB,WV,20,4553,219.0,0.0025626535875461678,#F9D924
105,2012,PRIMELENDING,DC,47,18548,379.0,0.00357252919966717,#F8963F
106,2012,PRIMELENDING,DE,215,52533,226.0,0.021235063948130063,#F8963F
107,2012,PRIMELENDING,MD,1964,523033,245.0,0.016996372234632365,#F8963F
108,2012,PRIMELENDING,VA,2010,497507,219.0,0.014949950224127402,#F8963F
109,2012,PRIMELENDING,WV,324,50394,145.0,0.02836423564480597,#F8963F
110,2012,PROSPERITY MORTGAGE COMPANY,DC,647,290367,399.0,0.055927570957502545,#BD3784
111,2012,PROSPERITY MORTGAGE COMPANY,DE,113,23589,186.0,0.009535224020566883,#BD3784
112,2012,PROSPERITY MORTGAGE COMPANY,MD,3607,1078636,255.0,0.035051132455647956,#BD3784
113,2012,PROSPERITY MORTGAGE COMPANY,VA,4632,1427464,270.0,0.042894905492251965,#BD3784
114,2012,PROSPERITY MORTGAGE COMPANY,WV,36,6281,179.0,0.0035352574529711133,#BD3784
115,2012,QUICKEN LOANS,DC,642,226375,332.0,0.04360207556473235,#21058F
116,2012,QUICKEN LOANS,DE,1206,261860,207.0,0.1058499199637816,#21058F
117,2012,QUICKEN LOANS,MD,8400,2264201,254.0,0.07357700758848264,#21058F
118,2012,QUICKEN LOANS,VA,12153,3242605,247.0,0.09743939953911529,#21058F
119,2012,QUICKEN LOANS,WV,1270,188502,135.0,0.10609824875019278,#21058F
120,2012,SUNTRUST MORTGAGE INC,DC,798,390189,413.5,0.07515428056334555,#330497
121,2012,SUNTRUST MORTGAGE INC,DE,179,41096,215.0,0.01661196177664236,#330497
122,2012,SUNTRUST MORTGAGE INC,MD,6963,2421143,288.0,0.0786769623738359,#330497
123,2012,SUNTRUST MORTGAGE INC,VA,13246,3669256,229.0,0.1102601462081555,#330497
124,2012,SUNTRUST MORTGAGE INC,WV,356,54430,129.0,0.030635896061967476,#330497
125,2012,TOWNEBANK,DC,1,287,287.0,5.527905328361429e-05,#FCCB25
126,2012,TOWNEBANK,DE,1,362,362.0,0.00014632884375960031,#FCCB25
127,2012,TOWNEBANK,VA,3938,893963,207.0,0.02686334534430994,#FCCB25
128,2012,TOWNEBANK,WV,3,395,128.0,0.0002223255363673921,#FCCB25
129,2012,USAA FEDERAL SAVINGS BANK,DC,208,76859,349.5,0.014803807513328607,#C6417C
130,2012,USAA FEDERAL SAVINGS BANK,DE,271,60273,220.0,0.02436375248597345,#C6417C
131,2012,USAA FEDERAL SAVINGS BANK,MD,2020,611958,292.0,0.019886060650018553,#C6417C
132,2012,USAA FEDERAL SAVINGS BANK,VA,2411,579541,232.0,0.01741504964320305,#C6417C
133,2012,USAA FEDERAL SAVINGS BANK,WV,348,61439,163.0,0.03458090792120558,#C6417C
134,2012,WELLS FARGO BANK NA,DC,2478,1022265,348.0,0.1968984021079232,#0C0786
135,2012,WELLS FARGO BANK NA,DE,3898,830160,197.0,0.33557003573334193,#0C0786
136,2012,WELLS FARGO BANK NA,MD,23920,6206414,232.0,0.20168234621187114,#0C0786
137,2012,WELLS FARGO BANK NA,VA,18979,3927095,186.0,0.11800813812754313,#0C0786
